Date,"Pandas (software)"
2017-06-26,276
2017-06-27,264
2017-06-28,257
2017-06-29,268
2017-06-30,251
2017-07-01,124
2017-07-02,125
2017-07-03,254
2017-07-04,219
2017-07-05,247
2017-07-06,236
2017-07-07,259
2017-07-08,165
2017-07-09,156
2017-07-10,286
2017-07-11,312
2017-07-12,315
2017-07-13,300
2017-07-14,239
2017-07-15,153
2017-07-16,155
2017-07-17,249
2017-07-18,271
2017-07-19,284
2017-07-20,257
2017-07-21,229
2017-07-22,144
2017-07-23,151
2017-07-24,297
2017-07-25,333
2017-07-26,288
2017-07-27,278
2017-07-28,210
2017-07-29,122
2017-07-30,133
2017-07-31,275
2017-08-01,301
2017-08-02,283
2017-08-03,280
2017-08-04,202
2017-08-05,147
2017-08-06,160
2017-08-07,270
2017-08-08,298
2017-08-09,303
2017-08-10,280
2017-08-11,229
2017-08-12,124
2017-08-13,153
2017-08-14,276
2017-08-15,201
2017-08-16,290
2017-08-17,253
2017-08-18,286
2017-08-19,157
2017-08-20,155
2017-08-21,263
2017-08-22,232
2017-08-23,276
2017-08-24,283
2017-08-25,215
2017-08-26,176
2017-08-27,147
2017-08-28,234
2017-08-29,254
2017-08-30,293
2017-08-31,258
2017-09-01,234
2017-09-02,129
2017-09-03,153
2017-09-04,204
2017-09-05,286
2017-09-06,256
2017-09-07,269
2017-09-08,268
2017-09-09,127
2017-09-10,176
2017-09-11,279
2017-09-12,284
2017-09-13,281
2017-09-14,491
2017-09-15,564
2017-09-16,284
2017-09-17,264
2017-09-18,427
2017-09-19,402
2017-09-20,360
2017-09-21,303
2017-09-22,284
2017-09-23,160
2017-09-24,180
2017-09-25,296
2017-09-26,360
2017-09-27,313
2017-09-28,276
2017-09-29,258
2017-09-30,144
2017-10-01,151
2017-10-02,262
2017-10-03,295
2017-10-04,305
2017-10-05,276
2017-10-06,311
2017-10-07,159
2017-10-08,171
2017-10-09,280
2017-10-10,351
2017-10-11,285
2017-10-12,308
2017-10-13,295
2017-10-14,158
2017-10-15,175
2017-10-16,254
2017-10-17,287
2017-10-18,276
2017-10-19,286
2017-10-20,248
2017-10-21,170
2017-10-22,164
2017-10-23,341
2017-10-24,321
2017-10-25,342
2017-10-26,358
2017-10-27,289
2017-10-28,199
2017-10-29,180
2017-10-30,337
2017-10-31,385
2017-11-01,340
2017-11-02,379
2017-11-03,337
2017-11-04,237
2017-11-05,249
2017-11-06,394
2017-11-07,380
2017-11-08,435
2017-11-09,416
2017-11-10,351
2017-11-11,202
2017-11-12,222
2017-11-13,425
2017-11-14,492
2017-11-15,441
2017-11-16,476
2017-11-17,417
2017-11-18,178
2017-11-19,236
2017-11-20,432
2017-11-21,445
2017-11-22,410
2017-11-23,317
2017-11-24,306
2017-11-25,223
2017-11-26,279
2017-11-27,376
2017-11-28,443
2017-11-29,471
2017-11-30,413
2017-12-01,328
2017-12-02,223
2017-12-03,261
2017-12-04,359
2017-12-05,394
2017-12-06,376
2017-12-07,403
2017-12-08,496
2017-12-09,349
2017-12-10,274
2017-12-11,411
2017-12-12,388
2017-12-13,411
2017-12-14,446
2017-12-15,380
2017-12-16,231
2017-12-17,435
2017-12-18,368
2017-12-19,326
2017-12-20,300
2017-12-21,315
2017-12-22,281
2017-12-23,156
2017-12-24,192
2017-12-25,153
2017-12-26,212
2017-12-27,301
2017-12-28,304
2017-12-29,255
2017-12-30,180
2017-12-31,150
2018-01-01,160
2018-01-02,292
2018-01-03,358
2018-01-04,381
2018-01-05,318
2018-01-06,203
2018-01-07,237
2018-01-08,343
2018-01-09,379
2018-01-10,369
2018-01-11,360
2018-01-12,327
2018-01-13,228
2018-01-14,221
2018-01-15,318
2018-01-16,404
2018-01-17,394
2018-01-18,412
2018-01-19,352
2018-01-20,271
2018-01-21,270
2018-01-22,432
2018-01-23,458
2018-01-24,453
2018-01-25,447
2018-01-26,473
2018-01-27,279
2018-01-28,265
2018-01-29,428
2018-01-30,399
2018-01-31,503
2018-02-01,380
2018-02-02,381
2018-02-03,206
2018-02-04,226
2018-02-05,406
2018-02-06,401
2018-02-07,354
2018-02-08,383
2018-02-09,360
2018-02-10,221
2018-02-11,236
2018-02-12,359
2018-02-13,425
2018-02-14,390
2018-02-15,384
2018-02-16,316
2018-02-17,276
2018-02-18,243
2018-02-19,379
2018-02-20,431
2018-02-21,416
2018-02-22,440
2018-02-23,420
2018-02-24,258
2018-02-25,255
2018-02-26,423
2018-02-27,475
2018-02-28,433
2018-03-01,444
2018-03-02,391
2018-03-03,282
2018-03-04,302
2018-03-05,502
2018-03-06,509
2018-03-07,481
2018-03-08,455
2018-03-09,409
2018-03-10,267
2018-03-11,290
2018-03-12,411
2018-03-13,469
2018-03-14,467
2018-03-15,428
2018-03-16,401
2018-03-17,268
2018-03-18,291
2018-03-19,491
2018-03-20,506
2018-03-21,439
2018-03-22,398
2018-03-23,424
2018-03-24,273
2018-03-25,277
2018-03-26,489
2018-03-27,455
2018-03-28,430
2018-03-29,420
2018-03-30,296
2018-03-31,238
2018-04-01,233
2018-04-02,374
2018-04-03,457
2018-04-04,453
2018-04-05,420
2018-04-06,372
2018-04-07,246
2018-04-08,278
2018-04-09,472
2018-04-10,486
2018-04-11,446
2018-04-12,419
2018-04-13,402
2018-04-14,227
2018-04-15,294
2018-04-16,467
2018-04-17,442
2018-04-18,436
2018-04-19,462
2018-04-20,441
2018-04-21,269
2018-04-22,281
2018-04-23,431
2018-04-24,442
2018-04-25,430
2018-04-26,390
2018-04-27,352
2018-04-28,233
2018-04-29,235
2018-04-30,368
2018-05-01,376
2018-05-02,380
2018-05-03,452
2018-05-04,371
2018-05-05,260
2018-05-06,247
2018-05-07,440
2018-05-08,447
2018-05-09,402
2018-05-10,430
2018-05-11,388
2018-05-12,230
2018-05-13,271
2018-05-14,405
2018-05-15,464
2018-05-16,451
2018-05-17,452
2018-05-18,393
2018-05-19,234
2018-05-20,262
2018-05-21,440
2018-05-22,521
2018-05-23,460
2018-05-24,492
2018-05-25,360
2018-05-26,210
2018-05-27,244
2018-05-28,385
2018-05-29,429
2018-05-30,445
2018-05-31,434
2018-06-01,382
2018-06-02,241
2018-06-03,245
2018-06-04,439
2018-06-05,480
2018-06-06,482
2018-06-07,438
2018-06-08,431
2018-06-09,223
2018-06-10,221
2018-06-11,436
2018-06-12,425
2018-06-13,487
2018-06-14,427
2018-06-15,347
2018-06-16,217
2018-06-17,207
2018-06-18,391
2018-06-19,443
2018-06-20,434
2018-06-21,411
2018-06-22,367
2018-06-23,196
2018-06-24,222
2018-06-25,407
2018-06-26,398
2018-06-27,407
2018-06-28,407
2018-06-29,331
2018-06-30,225
2018-07-01,200
2018-07-02,376
2018-07-03,375
2018-07-04,337
2018-07-05,349
2018-07-06,322
2018-07-07,196
2018-07-08,213
2018-07-09,415
2018-07-10,408
2018-07-11,424
2018-07-12,488
2018-07-13,409
2018-07-14,236
2018-07-15,194
2018-07-16,392
2018-07-17,396
2018-07-18,427
2018-07-19,414
2018-07-20,345
2018-07-21,248
2018-07-22,234
2018-07-23,381
2018-07-24,459
2018-07-25,390
2018-07-26,389
2018-07-27,342
2018-07-28,244
2018-07-29,219
2018-07-30,429
2018-07-31,455
2018-08-01,359
2018-08-02,382
2018-08-03,351
2018-08-04,208
2018-08-05,246
2018-08-06,428
2018-08-07,422
2018-08-08,453
2018-08-09,416
2018-08-10,332
2018-08-11,189
2018-08-12,241
2018-08-13,358
